Index,Ovel,Uvel,Uivel
1,0.111856823,0.285714286,0.023866348
2,0.105263158,0.285714286,0.027100271
3,0.108225108,0.295857988,0.020876827
4,0.110375276,0.295857988,0.025
5,0.105932203,0.295857988,0.025839793
6,0.108225108,0.280898876,0.025
7,0.105263158,0.285714286,0.022883295
8,0.108225108,0.279329609,0.024096386
9,0.111111111,0.279329609,0.025188917
10,0.110375276,0.295857988,0.024752475
